ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1984805850,2026-02-03T10:55:25.821000,2026-02-03T10:55:41.409000,buy,0.01,0.01,XAUUSD,4916.379,4917.4980000000005,,,-0.11,0,1.12,,,user
1984804067,2026-02-03T10:53:50.765000,2026-02-03T10:54:35.488000,buy,0.01,0.01,XAUUSD,4915.239,4916.251,4913.085,4919.501,-0.11,0,1.01,,,user
1984711071,2026-02-03T09:56:18.613000,2026-02-03T10:10:06.502000,buy,0.01,0.01,XAUUSD,4919.123,4923.731,4911.29,,-0.11,0,4.61,,,user
1984732586,2026-02-03T10:08:06.204000,2026-02-03T10:09:13.202000,buy,0.01,0.01,XAUUSD,4915.129,4916.438,,,-0.11,0,1.31,,,user
1984731038,2026-02-03T10:07:15.314000,2026-02-03T10:07:35.751000,buy,0.01,0.01,XAUUSD,4915.026,4917.962,,,-0.11,0,2.93,,,user
1984661782,2026-02-03T09:34:17.678000,2026-02-03T09:35:30.795000,sell,0.01,0.01,XAUUSD,4896.001,4902.5960000000005,4902.689,4881.998,-0.11,0,-6.6,,,user
1984610744,2026-02-03T09:16:13.879000,2026-02-03T09:16:35.169000,sell,0.01,0.01,XAUUSD,4913.308,4901.63,4917.591,4902.191,-0.11,0,11.68,,,tp
1984600858,2026-02-03T09:11:40.764000,2026-02-03T09:15:06.451000,buy,0.01,0.01,XAUUSD,4913.717,4916.012,4907.738,4925.62,-0.11,0,2.29,,,user
1984586521,2026-02-03T09:05:18.717000,2026-02-03T09:06:02.522000,buy,0.01,0.01,XAUUSD,4915.313,4918.187,4908.18,4928.603,-0.11,0,2.88,,,user
1984536611,2026-02-03T08:46:22.301000,2026-02-03T08:46:39.490000,buy,0.01,0.01,XAUUSD,4935.248,4932.9,4932.9,4939.49,-0.11,0,-2.35,,,sl
1984527240,2026-02-03T08:42:44.153000,2026-02-03T08:43:41.552000,buy,0.01,0.01,XAUUSD,4945.828,4938.703,4939.29,4953.909,-0.11,0,-7.13,,,sl
1984489141,2026-02-03T08:41:19.820000,2026-02-03T08:41:40.497000,buy,0.01,0.01,XAUUSD,4942.679,4939.218,4939.218,4953.477,-0.11,0,-3.46,,,sl
1984504493,2026-02-03T08:34:13.164000,2026-02-03T08:36:05.627000,sell,0.01,0.01,XAUUSD,4931.417,4939.724,4938.979,4920.803,-0.11,0,-8.3,,,sl
1984498751,2026-02-03T08:31:38.925000,2026-02-03T08:33:18.444000,sell,0.01,0.01,XAUUSD,4931.85,4935.741,4935.741,4921.481,-0.11,0,-3.89,,,sl
1984406030,2026-02-03T08:00:55.789000,2026-02-03T08:06:24.029000,sell,0.01,0.01,XAUUSD,4910.327,4901.085,4912.232,4893.487,-0.11,0,9.24,,,user
1984395815,2026-02-03T07:57:28.750000,2026-02-03T07:58:36.551000,sell,0.01,0.01,XAUUSD,4917.239,4921.863,4921.863,4901.596,-0.11,0,-4.62,,,sl
1984383596,2026-02-03T07:53:04.704000,2026-02-03T07:53:52.236000,sell,0.01,0.01,XAUUSD,4914.71,4915.3330000000005,4920.794,4906.508,-0.11,0,-0.62,,,user
1984298216,2026-02-03T07:19:22.021000,2026-02-03T07:23:54.508000,buy,0.01,0.01,XAUUSD,4883.99,4891.495,4882.608,,-0.11,0,7.51,,,user
1984270286,2026-02-03T07:07:26.356000,2026-02-03T07:09:46.578000,buy,0.01,0.01,XAUUSD,4882.877,4884.789,,,-0.11,0,1.91,,,user
1983691000,2026-02-03T03:31:12.600000,2026-02-03T03:37:20.009000,buy,0.01,0.01,XAUUSD,4780.736,4791.537,4768.777,4805.842,-0.11,0,10.8,,,user
1983093363,2026-02-03T00:08:04.131000,2026-02-03T00:09:01.058000,buy,0.01,0.01,XAUUSD,4782.762,4778.6720000000005,4779.305,,-0.11,0,-4.09,,,sl
1983087120,2026-02-03T00:05:26.336000,2026-02-03T00:06:06.456000,buy,0.01,0.01,XAUUSD,4786.736,4778.9130000000005,4779.618,,-0.11,0,-7.83,,,sl
1983079809,2026-02-03T00:03:05.066000,2026-02-03T00:04:25.384000,buy,0.01,0.01,XAUUSD,4785.181,4793.62,4772.352,,-0.11,0,8.44,,,user
1983071996,2026-02-03T00:00:09.260000,2026-02-03T00:01:12.511000,buy,0.01,0.01,XAUUSD,4777.336,4776.51,4777.652,,-0.11,0,-0.83,,,sl
1982963453,2026-02-02T23:07:41.207000,2026-02-02T23:23:49.162000,buy,0.01,0.01,XAUUSD,4704.992,4748.002,4707.534,4796.239,-0.11,0,43.01,,,user
