type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,profit_usd,close_reason,opening_time_bd,closing_time_bd
buy,0.01,0.01,XAUUSD,4964.399,4967.356,,5214.837,-0.11,2.96,user,2026-02-03 22:16:31.353000+06:00,2026-02-03 22:17:13.211000+06:00
buy,0.04,0.04,XAUUSD,4967.88,4971.384,,5092.66,-0.44,14.02,user,2026-02-03 22:20:08.222000+06:00,2026-02-03 22:21:01.760000+06:00
buy,0.01,0.01,XAUUSD,4970.842,4973.509,,5137.535,-0.11,2.67,user,2026-02-03 22:33:39.173000+06:00,2026-02-03 22:33:47.249000+06:00
buy,0.01,0.01,XAUUSD,4960.575,4992.924,4959.423,5051.627,-0.11,32.34,user,2026-02-03 22:16:24.998000+06:00,2026-02-03 22:39:36.888000+06:00
buy,0.01,0.01,XAUUSD,4982.88,4979.5560000000005,,5149.586,-0.11,-3.32,user,2026-02-03 22:43:17.384000+06:00,2026-02-03 22:45:16.534000+06:00
buy,0.01,0.01,XAUUSD,4968.837,4962.3640000000005,,5139.591,-0.11,-6.48,user,2026-02-03 22:50:49.351000+06:00,2026-02-03 22:51:06.165000+06:00
buy,0.01,0.01,XAUUSD,4977.145,4962.406,,5147.004,-0.11,-14.74,user,2026-02-03 22:49:50.256000+06:00,2026-02-03 22:51:08.468000+06:00
buy,0.01,0.01,XAUUSD,4953.572,4957.646,,5126.497,-0.11,4.08,user,2026-02-03 22:59:04.909000+06:00,2026-02-03 22:59:18.151000+06:00
buy,0.01,0.01,XAUUSD,4949.125,4955.983,,5125.401,-0.11,6.85,user,2026-02-03 23:00:31.415000+06:00,2026-02-03 23:01:19.888000+06:00
buy,0.01,0.01,XAUUSD,4947.686,4940.371,,5125.71,-0.11,-7.32,user,2026-02-03 23:08:10.438000+06:00,2026-02-03 23:08:54.585000+06:00
buy,0.01,0.01,XAUUSD,4958.231,4940.656,,,-0.11,-17.57,user,2026-02-03 22:58:39.928000+06:00,2026-02-03 23:08:55.786000+06:00
buy,0.01,0.01,XAUUSD,4965.817,4941.387,,,-0.11,-24.43,user,2026-02-03 22:52:03.773000+06:00,2026-02-03 23:09:19.696000+06:00
sell,0.01,0.01,XAUUSD,4933.929,4927.488,,4920.95,-0.11,6.44,user,2026-02-03 23:11:11.475000+06:00,2026-02-03 23:11:56.773000+06:00
buy,0.04,0.04,XAUUSD,4941.059,4946.258,,5118.177,-0.44,20.79,user,2026-02-03 23:13:41.507000+06:00,2026-02-03 23:13:50.727000+06:00
buy,0.01,0.01,XAUUSD,4937.849,4963.076,,5114.133,-0.11,25.23,user,2026-02-03 23:12:24.320000+06:00,2026-02-03 23:19:28.558000+06:00
buy,0.01,0.01,XAUUSD,4957.343,4958.175,,5132.961,-0.11,0.84,user,2026-02-03 23:25:35.952000+06:00,2026-02-03 23:25:48.498000+06:00
buy,0.01,0.01,XAUUSD,4950.345,4951.77,,5125.851,-0.11,1.42,user,2026-02-03 23:30:17.125000+06:00,2026-02-03 23:30:38.547000+06:00
sell,0.01,0.01,BTCUSD,75334.15,75051.79000000001,75812.02,,-0.16,2.82,user,2026-02-03 23:40:36.354000+06:00,2026-02-03 23:46:23.226000+06:00
sell,0.01,0.01,XAUUSD,4913.95,4925.195000000001,4924.559,4735.594,-0.11,-11.25,sl,2026-02-03 23:47:20.056000+06:00,2026-02-03 23:47:58.522000+06:00
buy,0.01,0.01,XAUUSD,4932.992,4939.125,4920.879,5109.839,-0.11,6.14,user,2026-02-03 23:50:07.043000+06:00,2026-02-03 23:50:29.063000+06:00
buy,0.01,0.01,XAUUSD,4942.913,4943.266,4943.266,5120.433,-0.11,0.36,sl,2026-02-04 00:06:56.428000+06:00,2026-02-04 00:08:08.562000+06:00
buy,0.01,0.01,XAUUSD,4941.49,4946.664,4935.997,5121.15,-0.11,5.17,user,2026-02-04 00:08:54.712000+06:00,2026-02-04 00:10:45.815000+06:00
buy,0.01,0.01,XAUUSD,4943.632,4943.87,4938.378,5123.528,-0.11,0.24,user,2026-02-04 00:14:58.791000+06:00,2026-02-04 00:15:26.474000+06:00
buy,0.01,0.01,BTCUSD,74609.59,74278.48,74300.98,,-0.16,-3.32,sl,2026-02-04 00:22:28.485000+06:00,2026-02-04 00:23:53.282000+06:00
buy,0.01,0.01,XAUUSD,4926.883,4916.325,4917.388,4938.998,-0.11,-10.55,sl,2026-02-04 00:26:08.398000+06:00,2026-02-04 00:29:09.002000+06:00
sell,0.01,0.01,XAUUSD,4904.214,4912.242,4920.903,4846.362,-0.11,-8.03,user,2026-02-04 00:37:14.065000+06:00,2026-02-04 00:42:16.144000+06:00
