type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,close_reason,opening_time_bd,closing_time_bd
buy,0.01,0.01,XAUUSD,4623.765,4623.752,4621.48,,-0.11,0,-0.02,user,2026-01-13 21:13:14.318,2026-01-13 21:13:19.864
buy,0.01,0.01,XAUUSD,4622.425,4619.246,4619.543,,-0.11,0,-3.18,sl,2026-01-13 21:14:39.430,2026-01-13 21:15:54.568
buy,0.01,0.01,XAUUSD,4617.179,4615.304,4615.304,4624.871,-0.11,0,-1.88,sl,2026-01-13 21:16:41.059,2026-01-13 21:17:41.397
buy,0.01,0.01,XAUUSD,4605.839,4607.652,4603.568,,-0.11,0,1.81,user,2026-01-13 21:19:05.839,2026-01-13 21:19:18.332
sell,0.01,0.01,XAUUSD,4608.569,4606.957,4611.005,4605.218,-0.11,0,1.61,user,2026-01-13 21:23:11.133,2026-01-13 21:23:24.233
sell,0.01,0.01,XAUUSD,4606.566,4607.869,4610.192,4603.206,-0.11,0,-1.3,user,2026-01-13 21:27:02.632,2026-01-13 21:27:16.244
buy,0.01,0.01,XAUUSD,4607.974,4609.962,4605.454,,-0.11,0,1.99,user,2026-01-13 21:30:52.087,2026-01-13 21:31:03.250
buy,0.01,0.01,XAUUSD,4607.453,4608.9890000000005,4605.85,,-0.11,0,1.54,user,2026-01-13 21:41:21.060,2026-01-13 21:41:39.405
buy,0.01,0.01,XAUUSD,4615.097,4614.823,4612.297,,-0.11,0,-0.28,user,2026-01-13 21:45:47.823,2026-01-13 21:45:52.339
sell,0.01,0.01,XAUUSD,4584.394,4585.166,4587.676,,-0.11,0,-0.78,user,2026-01-14 02:45:17.166,2026-01-14 02:46:19.715
buy,0.01,0.01,XAUUSD,4598.509,4606.028,4598.046,4609.484,-0.11,0,7.52,user,2026-01-14 05:56:13.908,2026-01-14 06:10:11.224
buy,0.01,0.01,XAUUSD,4605.991,4604.787,4604.787,4621.986,-0.11,0,-1.2,sl,2026-01-14 06:13:22.078,2026-01-14 06:21:17.488
buy,0.01,0.01,XAUUSD,4604.317,4608.887,4601.856,4608.887,-0.11,0,4.57,tp,2026-01-14 06:24:26.276,2026-01-14 06:26:57.802
buy,0.01,0.01,XAUUSD,4609.028,4610.1140000000005,4607.856,4612.204,-0.11,0,1.08,user,2026-01-14 06:31:31.223,2026-01-14 06:33:34.345
buy,0.01,0.01,XAUUSD,4607.767,4606.837,4607.521,,-0.11,0,-0.93,sl,2026-01-14 06:57:46.601,2026-01-14 07:00:03.479
buy,0.01,0.01,XAUUSD,4615.234,4618.111,4614.978,4619.171,-0.11,0,2.88,user,2026-01-14 07:35:36.066,2026-01-14 07:37:38.425
buy,0.01,0.01,BTCUSD,95343.6,95276.09,95276.09,95931.13,-0.16,0,-0.68,sl,2026-01-14 07:10:14.856,2026-01-14 07:39:40.286
buy,0.01,0.01,XAUUSD,4615.58,4614.905,4615.468,4620.345,-0.11,0,-0.67,sl,2026-01-14 07:44:06.930,2026-01-14 07:48:44.125
buy,0.01,0.01,XAUUSD,4614.322,4617.347,4613.769,4620.387,-0.11,0,3.03,user,2026-01-14 07:50:49.187,2026-01-14 07:52:41.168
sell,0.01,0.01,XAUUSD,4629.044,4630.909,4630.909,4624.051,-0.11,0,-1.87,sl,2026-01-14 12:40:20.784,2026-01-14 12:41:03.066
buy,0.01,0.01,XAUUSD,4632.308,4631.517,4631.517,,-0.11,0,-0.79,sl,2026-01-14 12:50:38.494,2026-01-14 12:51:38.432
buy,0.01,0.01,XAUUSD,4632.017,4632.621,4629.666,4641.005,-0.11,0,0.6,user,2026-01-14 12:45:08.432,2026-01-14 12:54:03.655
