ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1950874913,2026-01-20T06:08:47.342000,2026-01-20T06:09:03.025000,buy,0.01,0.01,XAUUSD,4714.59,4713.554,4713.554,4717.494,-0.11,0,-1.04,,,sl
1950854960,2026-01-20T06:02:09.763000,2026-01-20T06:06:07.632000,buy,0.01,0.01,XAUUSD,4710.293,4714.956,4707.381,,-0.11,0,4.67,,,user
1950799437,2026-01-20T05:48:07.619000,2026-01-20T05:51:59.137000,sell,0.01,0.01,BTCUSD,91603.95,91757.41,91744.06,91272.74,-0.16,0,-1.53,,,sl
1950745654,2026-01-20T05:32:08.177000,2026-01-20T05:37:30.749000,buy,0.01,0.01,XAUUSD,4700.295,4704.885,4697.81,,-0.11,0,4.59,,,user
1950731380,2026-01-20T05:26:27.614000,2026-01-20T05:30:45.636000,buy,0.01,0.01,XAUUSD,4698.522,4694.893,4694.893,4703.894,-0.11,0,-3.63,,,sl
1950736861,2026-01-20T05:29:53.462000,2026-01-20T05:30:07.089000,buy,0.01,0.01,XAUUSD,4696.038,4696.481,,,-0.11,0,0.44,,,user
1950706118,2026-01-20T05:15:18.381000,2026-01-20T05:20:52.394000,buy,0.01,0.01,XAUUSD,4699.105,4698.616,4696.651,4703.914,-0.11,0,-0.49,,,user
1950325834,2026-01-20T02:21:04.460000,2026-01-20T02:26:21.531000,buy,0.01,0.01,XAUUSD,4667.986,4670.31,4666.95,,-0.11,0,2.32,,,user
1950300377,2026-01-20T02:05:08.755000,2026-01-20T02:12:37.876000,buy,0.01,0.01,XAUUSD,4668.952,4665.916,4665.916,4677.286,-0.11,0,-3.03,,,sl
1950290935,2026-01-20T01:59:05.103000,2026-01-20T02:02:10.039000,buy,0.01,0.01,XAUUSD,4669.861,4671.4490000000005,4666.795,4677.548,-0.11,0,1.59,,,user
1949765800,2026-01-19T16:05:59.877000,2026-01-19T16:36:42.223000,sell,0.01,0.01,XAUUSD,4672.544,4671.251,4674.535,4668.355,-0.11,0,1.29,,,user
1949790601,2026-01-19T16:25:24.074000,2026-01-19T16:32:31.902000,sell,0.01,0.01,XAUUSD,4672.135,4671.916,4673.075,4670.137,-0.11,0,0.22,,,user
1949787759,2026-01-19T16:22:30.761000,2026-01-19T16:23:00.047000,sell,0.01,0.01,XAUUSD,4671.541,4672.086,4672.086,4670.278,-0.11,0,-0.55,,,sl
1949703659,2026-01-19T15:32:11.009000,2026-01-19T15:34:04.070000,sell,0.02,0.02,BTCUSD,92879.49,93016.94,93008.62,92670.1,-0.32,0,-2.75,,,sl
1949691877,2026-01-19T15:23:13.724000,2026-01-19T15:32:44.740000,buy,0.01,0.01,XAUUSD,4665.583,4666.598,4663.907,4669.338,-0.11,0,1.02,,,user
1949564208,2026-01-19T14:18:27.758000,2026-01-19T15:03:16.724000,buy,0.01,0.01,XAUUSD,4666.557,4669.5160000000005,4663.905,4674.485,-0.11,0,2.96,,,user
1949615884,2026-01-19T14:41:24.303000,2026-01-19T14:44:13.405000,buy,0.01,0.02,XAUUSD,4665.783,4666.744,4663.883,4672.506,-0.22,0,0.96,,,user
1949615884,2026-01-19T14:41:24.303000,2026-01-19T14:43:23.014000,buy,0.01,0.02,XAUUSD,4665.783,4666.819,4663.883,4672.506,,0,1.04,,,user
1949455063,2026-01-19T13:31:01.354000,2026-01-19T14:09:21.441000,buy,0.01,0.02,BTCUSD,92917.54,92747.42,92747.42,93136.68,-0.32,0,-1.71,,,sl
1949455063,2026-01-19T13:31:01.354000,2026-01-19T13:44:33.897000,buy,0.01,0.02,BTCUSD,92917.54,93029.18000000001,92747.42,93136.68,,0,1.11,,,user
1949400125,2026-01-19T13:01:13.977000,2026-01-19T13:42:24.946000,buy,0.01,0.01,XAUUSD,4670.873,4667.877,4667.877,4689.275,-0.11,0,-2.99,,,sl
1949352831,2026-01-19T12:34:34.737000,2026-01-19T12:50:09.566000,buy,0.01,0.01,XAUUSD,4672.645,4669.91,4669.91,,-0.11,0,-2.74,,,sl
1948774117,2026-01-19T06:51:22.367000,2026-01-19T06:52:07.073000,buy,0.01,0.01,XAUUSD,4674.968,4675.536,4673.924,,-0.11,0,0.57,,,user
1948720127,2026-01-19T06:16:56.646000,2026-01-19T06:36:01.544000,buy,0.01,0.01,XAUUSD,4669.35,4674.0650000000005,4666.887,4677.668,-0.11,0,4.72,,,user
1947951042,2026-01-18T23:08:45.465000,2026-01-19T06:15:29.421000,buy,0.01,0.01,USOIL,59.055,59.047,59.047,60.122,-0.13,0,-0.08,,,sl
1948699740,2026-01-19T06:00:31.520000,2026-01-19T06:06:46.158000,buy,0.01,0.01,XAUUSD,4669.865,4667.358,4667.358,4678.967,-0.11,0,-2.51,,,sl
1948661500,2026-01-19T05:41:26.013000,2026-01-19T05:56:57.929000,buy,0.01,0.01,XAUUSD,4668.059,4671.008,4664.171,4678.206,-0.11,0,2.95,,,user
1948667373,2026-01-19T05:43:55.231000,2026-01-19T05:46:59.217000,buy,0.01,0.01,XAUUSD,4664.643,4668.495,4662.947,,-0.11,0,3.86,,,user
1948650606,2026-01-19T05:35:28.839000,2026-01-19T05:39:29.870000,buy,0.01,0.01,XAUUSD,4670.777,4668.893,4668.893,4675.836,-0.11,0,-1.89,,,sl
1948393695,2026-01-19T02:42:05.537000,2026-01-19T02:52:34.198000,buy,0.01,0.01,XAUUSD,4658.047,4660.517,4657.348,4663.441,-0.11,0,2.47,,,user
